project_id,project_key,project_name,issue_key,issue_type,summary,description,priority,status,assignee,reporter,story_points,original_estimate_hours,remaining_estimate_hours,time_spent_hours,sprint_id,sprint_name,sprint_start_date,sprint_end_date,issue_created_date,issue_updated_date,resolution,resolution_date,blocker_status,labels,epic,dependencies
10001,PHX,Phoenix Platform Modernization,PHX-11,Story,Implement SSO login for onboarding flow,"As part of onboarding flow, the team needs to address: implement sso login for onboarding flow. Acceptance criteria to be validated in QA before release.",Medium,In Progress,Elena Petrova,Tom O'Brien,5,10.1,8.4,1.7,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-10,2026-01-28,,,Not Blocked,frontend;security;ui-ux,PHX-EP-2 Microservices Migration,
10001,PHX,Phoenix Platform Modernization,PHX-12,Sub-task,Write unit tests for dashboard,"As part of dashboard, the team needs to address: write unit tests for dashboard. Acceptance criteria to be validated in QA before release.",Medium,In Progress,Nathan Brooks,Nathan Brooks,,34.7,26.9,7.8,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-16,2026-02-02,,,Not Blocked,api;database;tech-debt,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-13,Bug,Fix SSO login error on API gateway,"As part of API gateway, the team needs to address: fix sso login error on api gateway. Acceptance criteria to be validated in QA before release.",Lowest,Closed,Sofia Rossi,Sofia Rossi,,11.0,0.0,10.4,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-12,2026-01-18,Duplicate,2026-01-18,Not Blocked,ui-ux,PHX-EP-2 Microservices Migration,
10001,PHX,Phoenix Platform Modernization,PHX-14,Bug,Incorrect data displayed in API gateway,"As part of API gateway, the team needs to address: incorrect data displayed in api gateway. Acceptance criteria to be validated in QA before release.",High,In Progress,Carlos Diaz,Rahul Mehta,1,24.0,15.1,8.9,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-14,2026-01-15,,,Not Blocked,api;compliance;regression,PHX-EP-3 Auth Overhaul,PHX-2
10001,PHX,Phoenix Platform Modernization,PHX-15,Task,Upgrade admin console dependencies,"As part of admin console, the team needs to address: upgrade admin console dependencies. Acceptance criteria to be validated in QA before release.",Low,Blocked,Grace Lin,Grace Lin,8,24.6,14.5,10.1,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-13,2026-02-03,,,Blocked,security;tech-debt,PHX-EP-2 Microservices Migration,PHX-3
10001,PHX,Phoenix Platform Modernization,PHX-16,Story,Implement webhook support for dashboard,"As part of dashboard, the team needs to address: implement webhook support for dashboard. Acceptance criteria to be validated in QA before release.",Medium,Closed,Jamal Carter,Fatima Noor,1,4.8,0.0,4.0,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-15,2026-01-19,Cannot Reproduce,2026-01-19,Not Blocked,performance,PHX-EP-2 Microservices Migration,
10001,PHX,Phoenix Platform Modernization,PHX-17,Task,Upgrade API gateway dependencies,"As part of API gateway, the team needs to address: upgrade api gateway dependencies. Acceptance criteria to be validated in QA before release.",Medium,Blocked,Carlos Diaz,David Kim,13,5.9,2.7,3.2,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-15,2026-01-18,,,Blocked,,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-18,Task,Configure audit logging for reporting engine,"As part of reporting engine, the team needs to address: configure audit logging for reporting engine. Acceptance criteria to be validated in QA before release.",High,Closed,Rahul Mehta,Rahul Mehta,1,5.5,0.0,5.2,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-15,2026-01-16,Fixed,2026-01-16,Not Blocked,api;database,PHX-EP-2 Microservices Migration,
10001,PHX,Phoenix Platform Modernization,PHX-19,Sub-task,Write unit tests for user profile,"As part of user profile, the team needs to address: write unit tests for user profile. Acceptance criteria to be validated in QA before release.",Low,Done,Marcus Johnson,Sofia Rossi,,7.6,0.0,5.9,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-15,2026-01-26,Duplicate,2026-01-26,Not Blocked,,,PHX-4
10001,PHX,Phoenix Platform Modernization,PHX-20,Bug,Resolve intermittent failure in admin console,"As part of admin console, the team needs to address: resolve intermittent failure in admin console. Acceptance criteria to be validated in QA before release.",Low,In Progress,Fatima Noor,Brianna Scott,2,39.1,19.3,19.8,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-13,2026-01-13,,,Not Blocked,infra;ui-ux,,
10001,PHX,Phoenix Platform Modernization,PHX-21,Task,Upgrade admin console dependencies,"As part of admin console, the team needs to address: upgrade admin console dependencies. Acceptance criteria to be validated in QA before release.",Low,In Progress,Fatima Noor,Marcus Johnson,,36.9,26.8,10.1,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-16,2026-01-23,,,Not Blocked,ui-ux,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-22,Task,Document API gateway bulk export process,"As part of API gateway, the team needs to address: document api gateway bulk export process. Acceptance criteria to be validated in QA before release.",Low,To Do,Elena Petrova,Alicia Chen,3,8.8,8.8,0.0,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-15,2026-01-16,,,Not Blocked,compliance;performance;ui-ux,PHX-EP-3 Auth Overhaul,PHX-7;PHX-9
10001,PHX,Phoenix Platform Modernization,PHX-23,Bug,Resolve intermittent failure in API gateway,"As part of API gateway, the team needs to address: resolve intermittent failure in api gateway. Acceptance criteria to be validated in QA before release.",Medium,To Do,Marcus Johnson,Elena Petrova,13,37.0,37.0,0.0,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-10,2026-01-20,,,Not Blocked,,PHX-EP-2 Microservices Migration,
10001,PHX,Phoenix Platform Modernization,PHX-24,Task,Refactor user profile for search filters,"As part of user profile, the team needs to address: refactor user profile for search filters. Acceptance criteria to be validated in QA before release.",Medium,Closed,Marcus Johnson,Tom O'Brien,13,30.4,0.0,24.5,PHX-SPR-2,PHX Sprint 2,2026-01-19,2026-02-01,2026-01-10,2026-01-19,Done,2026-01-19,Not Blocked,security;tech-debt,PHX-EP-3 Auth Overhaul,
10001,PHX,Phoenix Platform Modernization,PHX-25,Bug,Incorrect data displayed in payments service,"As part of payments service, the team needs to address: incorrect data displayed in payments service. Acceptance criteria to be validated in QA before release.",Low,Closed,Tom O'Brien,Carlos Diaz,13,8.4,0.0,6.3,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-25,2026-02-15,Done,2026-02-15,Not Blocked,infra,PHX-EP-1 Legacy Decommission,PHX-8
10001,PHX,Phoenix Platform Modernization,PHX-26,Sub-task,Deploy billing module to staging,"As part of billing module, the team needs to address: deploy billing module to staging. Acceptance criteria to be validated in QA before release.",Low,Blocked,David Kim,Brianna Scott,,29.3,20.7,8.6,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-27,2026-02-03,,,Blocked,infra,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-27,Sub-task,Deploy API gateway to staging,"As part of API gateway, the team needs to address: deploy api gateway to staging. Acceptance criteria to be validated in QA before release.",Highest,In Progress,Elena Petrova,Nathan Brooks,,34.2,23.0,11.2,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-26,2026-02-16,,,Not Blocked,customer-reported;database,,
10001,PHX,Phoenix Platform Modernization,PHX-28,Sub-task,Deploy user profile to staging,"As part of user profile, the team needs to address: deploy user profile to staging. Acceptance criteria to be validated in QA before release.",Medium,Done,Marcus Johnson,Wei Zhang,,33.9,0.0,29.4,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-25,2026-02-09,Done,2026-02-09,Not Blocked,,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-29,Bug,Resolve intermittent failure in user profile,"As part of user profile, the team needs to address: resolve intermittent failure in user profile. Acceptance criteria to be validated in QA before release.",Medium,In Progress,Alicia Chen,Nathan Brooks,2,4.4,3.1,1.3,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-25,2026-02-08,,,Not Blocked,ui-ux,PHX-EP-3 Auth Overhaul,
10001,PHX,Phoenix Platform Modernization,PHX-30,Sub-task,Deploy admin console to staging,"As part of admin console, the team needs to address: deploy admin console to staging. Acceptance criteria to be validated in QA before release.",Highest,In Review,Elena Petrova,Marcus Johnson,,30.6,14.5,16.1,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-27,2026-02-13,,,Not Blocked,database,PHX-EP-2 Microservices Migration,
10001,PHX,Phoenix Platform Modernization,PHX-31,Task,Refactor admin console for role-based access,"As part of admin console, the team needs to address: refactor admin console for role-based access. Acceptance criteria to be validated in QA before release.",Low,Closed,Tom O'Brien,Marcus Johnson,8,22.3,0.0,27.7,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-24,2026-02-11,Done,2026-02-11,Not Blocked,api;compliance;database,PHX-EP-2 Microservices Migration,
10001,PHX,Phoenix Platform Modernization,PHX-32,Story,Enable data validation on admin console page,"As part of admin console, the team needs to address: enable data validation on admin console page. Acceptance criteria to be validated in QA before release.",Low,Done,David Kim,David Kim,3,33.7,0.0,33.1,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-25,2026-01-26,Cannot Reproduce,2026-01-26,Not Blocked,,PHX-EP-3 Auth Overhaul,PHX-31
10001,PHX,Phoenix Platform Modernization,PHX-33,Sub-task,Update API contract for user profile,"As part of user profile, the team needs to address: update api contract for user profile. Acceptance criteria to be validated in QA before release.",High,Done,Rahul Mehta,Carlos Diaz,,23.4,0.0,19.4,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-29,2026-02-09,Fixed,2026-02-09,Not Blocked,,PHX-EP-1 Legacy Decommission,
10001,PHX,Phoenix Platform Modernization,PHX-34,Story,Design and build caching layer workflow,"As part of settings page, the team needs to address: design and build caching layer workflow. Acceptance criteria to be validated in QA before release.",Medium,Done,Marcus Johnson,Priya Raman,1,24.5,0.0,29.4,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-30,2026-02-02,Done,2026-02-02,Not Blocked,,PHX-EP-3 Auth Overhaul,
10001,PHX,Phoenix Platform Modernization,PHX-35,Bug,dashboard throws exception when webhook support used,"As part of dashboard, the team needs to address: dashboard throws exception when webhook support used. Acceptance criteria to be validated in QA before release.",Highest,In Review,Fatima Noor,Carlos Diaz,5,6.0,2.5,3.5,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-23,2026-02-20,,,Not Blocked,ui-ux,PHX-EP-3 Auth Overhaul,
10001,PHX,Phoenix Platform Modernization,PHX-36,Sub-task,Deploy billing module to staging,"As part of billing module, the team needs to address: deploy billing module to staging. Acceptance criteria to be validated in QA before release.",Medium,Done,Brianna Scott,Tom O'Brien,,12.2,0.0,14.8,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-02-01,2026-02-09,Duplicate,2026-02-09,Not Blocked,compliance;customer-reported;ui-ux,PHX-EP-2 Microservices Migration,
10001,PHX,Phoenix Platform Modernization,PHX-37,Story,Enable role-based access on reporting engine page,"As part of reporting engine, the team needs to address: enable role-based access on reporting engine page. Acceptance criteria to be validated in QA before release.",High,Done,Sofia Rossi,Alicia Chen,3,23.1,0.0,23.3,PHX-SPR-3,PHX Sprint 3,2026-02-02,2026-02-15,2026-01-30,2026-02-01,Fixed,2026-02-01,Not Blocked,compliance,PHX-EP-3 Auth Overhaul,
10002,ORCA,Orca Payments Gateway,ORCA-1,Task,Document settings page caching layer process,"As part of settings page, the team needs to address: document settings page caching layer process. Acceptance criteria to be validated in QA before release.",Medium,Blocked,David Kim,Marcus Johnson,5,39.9,24.9,15.0,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2025-12-31,2026-01-22,,,Blocked,compliance;infra;tech-debt,ORCA-EP-3 Fraud Detection,
10002,ORCA,Orca Payments Gateway,ORCA-2,Story,Add support for search filters in user profile,"As part of user profile, the team needs to address: add support for search filters in user profile. Acceptance criteria to be validated in QA before release.",High,In Review,Jamal Carter,Priya Raman,13,24.4,12.7,11.7,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2025-12-27,2026-01-05,,,Blocked,tech-debt,ORCA-EP-1 PCI Compliance,
10002,ORCA,Orca Payments Gateway,ORCA-3,Story,Enable SSO login on checkout page,"As part of checkout, the team needs to address: enable sso login on checkout page. Acceptance criteria to be validated in QA before release.",Medium,To Do,,Rahul Mehta,,30.6,30.6,0.0,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2026-01-04,2026-01-04,,,Not Blocked,compliance;database;performance,ORCA-EP-1 PCI Compliance,
10002,ORCA,Orca Payments Gateway,ORCA-4,Sub-task,Write unit tests for billing module,"As part of billing module, the team needs to address: write unit tests for billing module. Acceptance criteria to be validated in QA before release.",Medium,Done,Wei Zhang,Tom O'Brien,,7.8,0.0,9.3,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2026-01-01,2026-01-03,Cannot Reproduce,2026-01-03,Not Blocked,compliance;customer-reported;infra,ORCA-EP-3 Fraud Detection,
10002,ORCA,Orca Payments Gateway,ORCA-5,Story,Enable currency conversion on admin console page,"As part of admin console, the team needs to address: enable currency conversion on admin console page. Acceptance criteria to be validated in QA before release.",Medium,To Do,Elena Petrova,Tom O'Brien,13,5.8,5.8,0.0,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2026-01-02,2026-01-22,,,Not Blocked,,ORCA-EP-1 PCI Compliance,
10002,ORCA,Orca Payments Gateway,ORCA-6,Task,Upgrade reporting engine dependencies,"As part of reporting engine, the team needs to address: upgrade reporting engine dependencies. Acceptance criteria to be validated in QA before release.",High,Done,Wei Zhang,Fatima Noor,13,34.7,0.0,25.8,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2026-01-02,2026-01-10,Won't Fix,2026-01-10,Not Blocked,ui-ux,ORCA-EP-1 PCI Compliance,
10002,ORCA,Orca Payments Gateway,ORCA-7,Sub-task,Update API contract for checkout,"As part of checkout, the team needs to address: update api contract for checkout. Acceptance criteria to be validated in QA before release.",Low,Done,Wei Zhang,Elena Petrova,,33.3,0.0,41.7,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2025-12-29,2026-01-01,Done,2026-01-01,Not Blocked,infra;regression;tech-debt,ORCA-EP-1 PCI Compliance,
10002,ORCA,Orca Payments Gateway,ORCA-8,Task,Upgrade reporting engine dependencies,"As part of reporting engine, the team needs to address: upgrade reporting engine dependencies. Acceptance criteria to be validated in QA before release.",Highest,Closed,Brianna Scott,Carlos Diaz,,34.7,0.0,36.5,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2026-01-05,2026-01-13,Done,2026-01-13,Not Blocked,database,ORCA-EP-2 Multi-Currency Support,
10002,ORCA,Orca Payments Gateway,ORCA-9,Bug,Fix email notifications error on billing module,"As part of billing module, the team needs to address: fix email notifications error on billing module. Acceptance criteria to be validated in QA before release.",Medium,In Review,Tom O'Brien,Rahul Mehta,3,27.5,13.0,14.5,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2025-12-31,2026-01-13,,,Not Blocked,infra;ui-ux,,
10002,ORCA,Orca Payments Gateway,ORCA-10,Story,Design and build webhook support workflow,"As part of dashboard, the team needs to address: design and build webhook support workflow. Acceptance criteria to be validated in QA before release.",Low,Done,Wei Zhang,Jamal Carter,1,27.0,0.0,27.7,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2025-12-30,2025-12-31,Fixed,2025-12-31,Not Blocked,backend;database;infra,ORCA-EP-3 Fraud Detection,ORCA-8
10002,ORCA,Orca Payments Gateway,ORCA-11,Bug,Resolve intermittent failure in settings page,"As part of settings page, the team needs to address: resolve intermittent failure in settings page. Acceptance criteria to be validated in QA before release.",Medium,In Progress,Jamal Carter,Fatima Noor,1,23.0,19.6,3.4,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2026-01-04,2026-01-18,,,Blocked,database,,
10002,ORCA,Orca Payments Gateway,ORCA-12,Bug,Resolve intermittent failure in billing module,"As part of billing module, the team needs to address: resolve intermittent failure in billing module. Acceptance criteria to be validated in QA before release.",Medium,To Do,,Fatima Noor,2,37.0,37.0,0.0,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2025-12-28,2026-01-20,,,Not Blocked,,ORCA-EP-2 Multi-Currency Support,
10002,ORCA,Orca Payments Gateway,ORCA-13,Sub-task,Deploy reporting engine to staging,"As part of reporting engine, the team needs to address: deploy reporting engine to staging. Acceptance criteria to be validated in QA before release.",Low,In Review,Elena Petrova,Alicia Chen,,20.4,15.0,5.4,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2025-12-28,2026-01-09,,,Not Blocked,compliance;security,ORCA-EP-1 PCI Compliance,
10002,ORCA,Orca Payments Gateway,ORCA-14,Story,Design and build two-factor auth workflow,"As part of admin console, the team needs to address: design and build two-factor auth workflow. Acceptance criteria to be validated in QA before release.",Lowest,Done,Priya Raman,Wei Zhang,13,39.3,0.0,39.2,ORCA-SPR-1,ORCA Sprint 1,2026-01-05,2026-01-18,2026-01-05,2026-01-09,Done,2026-01-09,Not Blocked,,,
10002,ORCA,Orca Payments Gateway,ORCA-15,Bug,Incorrect data displayed in user profile,"As part of user profile, the team needs to address: incorrect data displayed in user profile. Acceptance criteria to be validated in QA before release.",Low,Closed,Wei Zhang,Sofia Rossi,1,19.8,0.0,25.4,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-14,2026-02-02,Done,2026-02-02,Not Blocked,infra;regression,ORCA-EP-2 Multi-Currency Support,
10002,ORCA,Orca Payments Gateway,ORCA-16,Bug,Fix search filters error on checkout,"As part of checkout, the team needs to address: fix search filters error on checkout. Acceptance criteria to be validated in QA before release.",High,Done,Alicia Chen,Alicia Chen,3,39.9,0.0,45.8,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-13,2026-01-16,Won't Fix,2026-01-16,Not Blocked,,ORCA-EP-3 Fraud Detection,
10002,ORCA,Orca Payments Gateway,ORCA-17,Story,Enable SSO login on reporting engine page,"As part of reporting engine, the team needs to address: enable sso login on reporting engine page. Acceptance criteria to be validated in QA before release.",Medium,To Do,Wei Zhang,Carlos Diaz,8,17.7,17.7,0.0,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-09,2026-02-03,,,Not Blocked,frontend,ORCA-EP-2 Multi-Currency Support,
10002,ORCA,Orca Payments Gateway,ORCA-18,Story,Design and build two-factor auth workflow,"As part of reporting engine, the team needs to address: design and build two-factor auth workflow. Acceptance criteria to be validated in QA before release.",High,To Do,Elena Petrova,Jamal Carter,,19.7,19.7,0.0,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-15,2026-02-05,,,Not Blocked,,ORCA-EP-2 Multi-Currency Support,
10002,ORCA,Orca Payments Gateway,ORCA-19,Story,Add support for email notifications in reporting engine,"As part of reporting engine, the team needs to address: add support for email notifications in reporting engine. Acceptance criteria to be validated in QA before release.",Lowest,Done,Alicia Chen,Wei Zhang,1,11.0,0.0,11.5,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-10,2026-01-19,Cannot Reproduce,2026-01-19,Not Blocked,backend;customer-reported;tech-debt,,
10002,ORCA,Orca Payments Gateway,ORCA-20,Task,Refactor reporting engine for two-factor auth,"As part of reporting engine, the team needs to address: refactor reporting engine for two-factor auth. Acceptance criteria to be validated in QA before release.",Medium,In Review,Fatima Noor,Sofia Rossi,13,9.2,7.1,2.1,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-09,2026-01-30,,,Not Blocked,,,
10002,ORCA,Orca Payments Gateway,ORCA-21,Bug,Resolve intermittent failure in onboarding flow,"As part of onboarding flow, the team needs to address: resolve intermittent failure in onboarding flow. Acceptance criteria to be validated in QA before release.",Highest,In Progress,Sofia Rossi,Fatima Noor,13,17.8,14.2,3.6,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-11,2026-01-22,,,Not Blocked,api;tech-debt,,
10002,ORCA,Orca Payments Gateway,ORCA-22,Task,Configure webhook support for dashboard,"As part of dashboard, the team needs to address: configure webhook support for dashboard. Acceptance criteria to be validated in QA before release.",Lowest,To Do,Nathan Brooks,Grace Lin,2,34.7,34.7,0.0,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-09,2026-01-21,,,Blocked,frontend;ui-ux,ORCA-EP-3 Fraud Detection,ORCA-9
10002,ORCA,Orca Payments Gateway,ORCA-23,Sub-task,Deploy payments service to staging,"As part of payments service, the team needs to address: deploy payments service to staging. Acceptance criteria to be validated in QA before release.",Highest,Closed,Fatima Noor,Tom O'Brien,,23.3,0.0,29.1,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-16,2026-02-05,Fixed,2026-02-05,Not Blocked,infra;ui-ux,ORCA-EP-1 PCI Compliance,
10002,ORCA,Orca Payments Gateway,ORCA-24,Story,Add support for audit logging in API gateway,"As part of API gateway, the team needs to address: add support for audit logging in api gateway. Acceptance criteria to be validated in QA before release.",Medium,In Review,Tom O'Brien,Tom O'Brien,13,28.5,18.0,10.5,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-10,2026-02-02,,,Not Blocked,database;frontend;infra,ORCA-EP-2 Multi-Currency Support,ORCA-7
10002,ORCA,Orca Payments Gateway,ORCA-25,Epic,onboarding flow email notifications Initiative,"As part of onboarding flow, the team needs to address: onboarding flow email notifications initiative. Acceptance criteria to be validated in QA before release.",Lowest,In Review,Nathan Brooks,Tom O'Brien,,,,,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-09,2026-01-20,,,Not Blocked,frontend;security,,
10002,ORCA,Orca Payments Gateway,ORCA-26,Story,Implement audit logging for settings page,"As part of settings page, the team needs to address: implement audit logging for settings page. Acceptance criteria to be validated in QA before release.",Highest,In Progress,Priya Raman,Fatima Noor,2,31.9,25.4,6.5,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-11,2026-01-17,,,Not Blocked,performance,ORCA-EP-3 Fraud Detection,ORCA-5
10002,ORCA,Orca Payments Gateway,ORCA-27,Task,Refactor checkout for rate limiting,"As part of checkout, the team needs to address: refactor checkout for rate limiting. Acceptance criteria to be validated in QA before release.",Highest,Done,Marcus Johnson,Priya Raman,2,24.4,0.0,17.3,ORCA-SPR-2,ORCA Sprint 2,2026-01-19,2026-02-01,2026-01-15,2026-01-16,Fixed,2026-01-16,Not Blocked,,ORCA-EP-2 Multi-Currency Support,
